Product Name,Product Image,Product URL,Product Description
Fidelio Multimedia Cabinet,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/fideliomultimedia1.png?v=1698919623,https://proof.com.sg/products/fidelio-multimedia-cabinets,"Roberto Lazzeroni has enriched the series of Fidelio storage units with a new multimedia Cabinets. A versatile and generous accessory, ideal for housing the TV and stereo in the living room, which revisits the aesthetics of the collection. Clean lines, warm and natural materials like saddle leather and wood, fine finishes, perfectly calibrated and extremely light volumes."
Get Back 2-Seater Sofa,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/get1.png?v=1698919019,https://proof.com.sg/products/get-back-sofa,"After Let it Be and Come Together, designed for Poltrona Frau in 2017 and 2018 respectively, Ludovica and Roberto Palomba have designed Get Back, a seating system that once again pays homage to the Beatles. Get Back is inspired by the refrain, “Get back, get back, get back to where you once belonged”.
A playfully schematic text for a project that represents a return to comfort, to a welcoming tailor-made space where you can really feel at home. Generous, spacious and open lines, reclined backrests that encourage relaxation, numerous modular elements to combine freely in lots of different compositions."
Grantorino 3-Seater Sofa,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/3seater.png?v=1705974529,https://proof.com.sg/products/grantorino-sofa,"The world of saddlery, a realm of luxury craftsmanship and expert processing, is Jean-Marie Massaud’s inspiration for GranTorino, a system of modular sofas which, in its most original and precious version, pairs saddle-leather with Pelle Frau® leather or fabric. Made with comfortable seats, compact and well-cut shapes that reduce the overall dimensions to a minimum."
Mamy Blue Armchair with Ottoman,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/mamy3_1c700241-6a2a-4693-92e0-7e981dcef9a9.png?v=1698910494,https://proof.com.sg/products/mamy-blue-armchair,"Mamy Blue could be described as an armchair for meditation. Designed for relaxing and reading, its curved, agile forms are enhanced by the clever use of the materials. The Mamy Blue armchair by Roberto Lazzeroni has a dynamic, sophisticated and timeless design.
The perfect element to create your own personal corner in a living room or study. Designed for relaxation and reading. Its round and agile forms recall dynamic and sophisticated designs that Lazzeroni enhanced with an expert use of materials."
Othello Table,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/OthelloTable3.png?v=1698909751,https://proof.com.sg/products/othello-table,"The series of Othello tables are inspired by the encounter of pure and natural materials. The charm of expertly processed wood combined with stone or glass makes all decorations superfluous. With the Othello collection, Roberto Lazzeroni revisits the constructive rigour of 1950s and 60s Italian design."
Ginger Armchair,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/ginger1.png?v=1701842489,https://proof.com.sg/products/pf3211f5542101,"Designed by Roberto Lazzeroni in 2011 together with the Fred desk, the Ginger armchair has been a success since its debut and remains the most popular of all of the many chairs and armchairs in the Poltrona Frau catalogue. Its clean-cut and unfussy profile, sophisticated in its simplicity, evokes a welcoming and protective leather shell.
The seat is extremely comfortable, the forms are both sinuous and highly graphical, guaranteeing harmonious continuity between the shell and the base. Designed as both the natural complement to the Fred desk and as a free-standing seat, the swivel version of Ginger is perfect for the study, while the fixed version is reliable favourite for the dining room."
Bob Coffee Table,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/bob3.png?v=1698909376,https://proof.com.sg/products/bob-coffee-table,"Elegant and practical. Highly desirable blends of wood, leather, and steel. Beautiful simplicity inspired by a Kennedy-like international lifestyle."
Jay Lounge Swivel Armchair,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/jay4.png?v=1698908932,https://proof.com.sg/products/pf2211f5605113,"The Jay Lounge armchair is a privileged realm to dedicate purely to ourselves. Reserved for highly personal moments of meditation, relaxation, and reading. A new take on the archetypal bergère that instantly becomes a contemporary icon. The geometries are organic yet taut and sculpted. Jean-Marie Massaud proceeds by subtraction, lightening the volumes, and instilling movement into the composition."
Fidelio Low Cabinet,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/fedeliolow7.png?v=1698908194,https://proof.com.sg/products/fidelio-low-storage-cabinets,"A collection of storage units for any room in the home. Low and High Cabinets for the living room, this one also available in the drinks Cabinets version. Deliberately lean design, precious materials. Formal minimalism and sophisticated fi nishes for an across-the-board collection, an easy match for all the Poltrona Frau furnishings yet with its own very defined personality."
Mr Moonlight Bed,https://cdn.shopify.com/s/files/1/0093/8033/1583/files/MML1.png?v=1706086315,https://proof.com.sg/products/pf3211d5615272,"A relaxed and informal style, a profound sensation of comfort and freedom, and the same lightness of design. The proportions are perfectly calibrated and strive to avoid any possible visual obstacle. The result is a compact series of volumes that stands out for their subtle elegance."
